dialogue,emotion,hidden_meaning,threat_level,clean_dialogue
WiFi se bahar bhi duniya hai seriously,anger,WiFi ki wajah se gussa hai,rip,wifi se bahar bhi duniya hai seriously
phone ko thoda control karo beta,anger,phone ki wajah se gussa hai,high,phone ko thoda control karo beta
Mujhe tiffin ka update nahi chahiye,emotional_blackmail,mujhe ignore mat karo,high,mujhe tiffin ka update nahi chahiye
phone se bahar bhi duniya hai please,care,phone ke saath balance rakho,low,phone se bahar bhi duniya hai please
bike se bahar bhi duniya hai na,sarcasm,tum bike zyada use kar rahe ho,low,bike se bahar bhi duniya hai na
gaming pe hi future depend karega kya,anger,gaming ki wajah se gussa hai,high,gaming pe hi future depend karega kya
shopping se bahar bhi duniya hai na,care,shopping ke saath balance rakho,low,shopping se bahar bhi duniya hai na
bike ko side mein rakho thodi der beta,disappointment,better karo,low,bike ko side mein rakho thodi der beta
room ko thoda control karo na,care,room ke saath balance rakho,low,room ko thoda control karo na
kitchen pe hi future depend karega kya beta,care,kitchen ke saath balance rakho,low,kitchen pe hi future depend karega kya beta
"Phone hi chala lo pura din, wahi toh khana dega.",sarcasm,You spend too much time on your phone.,low,phone hi chala lo pura din wahi toh khana dega
"Haan, hum toh pagal hain jo tumhara bhala sochte hain.",sarcasm,You don't value our advice.,low,haan hum toh pagal hain jo tumhara bhala sochte hain
Paise ped pe ugtay hain na tere liye?,sarcasm,Stop spending money like it's infinite.,low,paise ped pe ugtay hain na tere liye
Bade log ho gaye ho ab humari zaroorat kahan.,sarcasm,You think you are too smart for us.,low,bade log ho gaye ho ab humari zaroorat kahan
Inhe lagta hai ye Google se zyada jaante hain.,sarcasm,You think you know everything.,low,inhe lagta hai ye google se zyada jaante hain
"Saara din bistar pe pade raho, medal milega.",sarcasm,Stop being lazy.,low,saara din bistar pe pade raho medal milega
"Wait, let me take an appointment to talk to my child.",sarcasm,You never have time for me.,low,wait let me take an appointment to talk to my child
Arey waah! Aaj suraj kaha se nikla jo tum jaldi uth gaye?,sarcasm,I'm shocked you woke up early.,low,arey waah aaj suraj kaha se nikla jo tum jaldi uth gaye
Is ghar ko hotel bana rakha hai.,sarcasm,You only come home to eat and sleep.,low,is ghar ko hotel bana rakha hai
Nawabzaade ke liye red carpet bichaun?,sarcasm,You are acting entitled.,low,nawabzaade ke liye red carpet bichaun
Tumhare doston ke liye toh hum dushman hain.,sarcasm,You prefer your friends over family.,low,tumhare doston ke liye toh hum dushman hain
Wah! Itni mehnat? Kahin bimaar na ho jao.,sarcasm,You are doing the bare minimum.,low,wah itni mehnat kahin bimaar na ho jao
Phone ko hi mummy bana lo.,sarcasm,You are obsessed with technology.,low,phone ko hi mummy bana lo
Bahut bade collector banoge kabaad jama karke.,sarcasm,Clean your messy room.,low,bahut bade collector banoge kabaad jama karke
"Haan beta, duniya tumhare hi toh intezaar mein baithi hai.",sarcasm,You are being delusional.,low,haan beta duniya tumhare hi toh intezaar mein baithi hai
"Tum toh PM banoge, itne busy jo rehte ho.",sarcasm,You are making excuses for not doing chores.,low,tum toh pm banoge itne busy jo rehte ho
Lagta hai ye ghar meri wajah se chal raha hai.,sarcasm,I do everything while you do nothing.,low,lagta hai ye ghar meri wajah se chal raha hai
Itna padh liya ki ab dimaag hi nahi bacha?,sarcasm,You are acting stupid despite being educated.,low,itna padh liya ki ab dimaag hi nahi bacha
Zubaan toh aise chalti hai jaise scissors.,sarcasm,You are being too argumentative.,low,zubaan toh aise chalti hai jaise scissors
"Haan haan, sab meri hi galti hai.",sarcasm,Stop blaming me for your mistakes.,low,haan haan sab meri hi galti hai
Kash mere paas bhi itna faltu waqt hota.,sarcasm,I wish I could be as lazy as you.,low,kash mere paas bhi itna faltu waqt hota
Agli baar bill tum hi bharna.,sarcasm,You consume too much electricity.,low,agli baar bill tum hi bharna
Tumhare baap ka raj hai yahan?,sarcasm,Follow the house rules.,low,tumhare baap ka raj hai yahan
"Oh, sorry! I forgot I have to take permission to enter your room.",sarcasm,Your room is too messy.,low,oh sorry i forgot i have to take permission to enter your room
"Kitni slim ho gayi ho, nazar na lag jaye.",sarcasm,You are not eating enough.,low,kitni slim ho gayi ho nazar na lag jaye
Bas yahi reh gaya tha dekhne ko.,sarcasm,I am disappointed in your action.,low,bas yahi reh gaya tha dekhne ko
Tumhare bina toh ye duniya ruk jayegi na.,sarcasm,Stop acting like you're indispensable.,low,tumhare bina toh ye duniya ruk jayegi na
Inka toh alag hi swag hai.,sarcasm,You are being unnecessarily rebellious.,low,inka toh alag hi swag hai
"Aisi aulaad sabko de, taki sabko mera dard samajh aaye.",sarcasm,You are a handful.,low,aisi aulaad sabko de taki sabko mera dard samajh aaye
"TV thoda aur paas se dekh lo, aankhein andar ghus jayengi.",sarcasm,You're ruining your eyesight.,low,tv thoda aur paas se dekh lo aankhein andar ghus jayengi
Khana cold ho gaya? Micro-oven toh tumhare liye hi laya hai.,sarcasm,Stop complaining about cold food.,low,khana cold ho gaya microoven toh tumhare liye hi laya hai
Tumhare dimaag mein dahi jam gaya hai kya?,sarcasm,Use your common sense.,low,tumhare dimaag mein dahi jam gaya hai kya
"Paisa toh haath ki mail hai, hai na?",sarcasm,You have no value for money.,low,paisa toh haath ki mail hai hai na
Tum toh scientist banoge ye sab karke.,sarcasm,Your hobbies are useless.,low,tum toh scientist banoge ye sab karke
Waah! Aaj naha liya? Kya baat hai!,sarcasm,You finally took a shower.,low,waah aaj naha liya kya baat hai
"Poora sheher ghoom lo, ghar toh bas sone aana.",sarcasm,You are always outside.,low,poora sheher ghoom lo ghar toh bas sone aana
Is phone ko aag laga dungi ek din.,sarcasm,Your phone is the cause of all problems.,low,is phone ko aag laga dungi ek din
"Humein kya pata, hum toh anpadh hain.",sarcasm,You are dismissing my experience.,low,humein kya pata hum toh anpadh hain
Bahut bade saheb aaye hain.,sarcasm,Stop acting like a boss.,low,bahut bade saheb aaye hain
Itna attitude kahan se laate ho?,sarcasm,You are being arrogant.,low,itna attitude kahan se laate ho
"Ghar aa tu, phir batati hu.",anger,You are in big trouble once you get home.,high,ghar aa tu phir batati hu
"Ek thappad padega na, saari hoshiyari nikal jayegi.",anger,I will hit you if you act smart.,high,ek thappad padega na saari hoshiyari nikal jayegi
Zubaan lada raha hai mujhse?,anger,Don't talk back to me.,high,zubaan lada raha hai mujhse
Abhi ke abhi ye phone band kar!,anger,Put the phone away immediately.,high,abhi ke abhi ye phone band kar
Pagal karke rakh diya hai mujhe.,anger,You are driving me crazy.,high,pagal karke rakh diya hai mujhe
Awaaz neeche!,anger,Lower your volume.,high,awaaz neeche
Bahar nikal is ghar se!,anger,I am extremely angry with you.,high,bahar nikal is ghar se
Saara din sirf aaram chahiye tumhe.,anger,You are doing nothing to help.,high,saara din sirf aaram chahiye tumhe
Dimaag mat kharab kar mera.,anger,Don't annoy me further.,high,dimaag mat kharab kar mera
Chup chap khana khao warna bhookhe so jao.,anger,Eat without complaining.,high,chup chap khana khao warna bhookhe so jao
Kahan mara tha itni der?,anger,Where were you for so long?,high,kahan mara tha itni der
Ek baar aur bola toh dekh lena.,anger,Don't repeat that mistake.,high,ek baar aur bola toh dekh lena
Mere sabar ka imtehaan mat lo.,anger,Don't push me to my limit.,high,mere sabar ka imtehaan mat lo
Kya samjh rakha hai mujhe?,anger,Don't disrespect me.,high,kya samjh rakha hai mujhe
Abhi thappad khaoge mere haath se.,anger,I am about to hit you.,high,abhi thappad khaoge mere haath se
Bas bahut ho gaya!,anger,I've had enough of your behavior.,high,bas bahut ho gaya
Kitni baar bolna padega ek hi baat?,anger,Listen to me the first time.,high,kitni baar bolna padega ek hi baat
Tameez bhool gaye ho kya?,anger,Where are your manners?,high,tameez bhool gaye ho kya
"Padhai likhai chhod do, dukan pe baitho.",anger,Stop wasting time.,high,padhai likhai chhod do dukan pe baitho
Galti karke aankhein dikha rahe ho?,anger,Don't be defiant after a mistake.,high,galti karke aankhein dikha rahe ho
Dikhayi mat dena mujhe agle ek ghante tak.,anger,Stay out of my sight.,high,dikhayi mat dena mujhe agle ek ghante tak
Bolna hai ya maar khani hai?,anger,Answer me or face consequences.,rip,bolna hai ya maar khani hai
Ghar hai ya koi dharamshala?,anger,Respect the rules of the house.,high,ghar hai ya koi dharamshala
Abhi sab thik kar deti hu tera.,anger,I will fix your attitude now.,high,abhi sab thik kar deti hu tera
Kaan ke neeche bajau ek?,anger,I'm about to slap you.,high,kaan ke neeche bajau ek
Kitna jhooth bologe mujhse?,anger,I know you are lying.,high,kitna jhooth bologe mujhse
Haram ka khana band karo.,anger,Stop being lazy and help out.,high,haram ka khana band karo
Nalayak kahin ka!,anger,You are useless.,high,nalayak kahin ka
Sudhar jao warna main sudhaar dungi.,anger,Fix your behavior or I will.,high,sudhar jao warna main sudhaar dungi
Andhe ho gaye ho kya?,anger,Pay attention.,high,andhe ho gaye ho kya
Dimag ghutne mein hai kya?,anger,Are you being stupid on purpose?,high,dimag ghutne mein hai kya
Koshish bhi mat karna dobara.,anger,Don't you dare do that again.,high,koshish bhi mat karna dobara
Khana phenk dungi bahar agar nakhre kiye.,anger,Don't be picky with food.,high,khana phenk dungi bahar agar nakhre kiye
Bahut par nikal aaye hain tumhare.,anger,You're getting too rebellious.,high,bahut par nikal aaye hain tumhare
Sab tod phod ke rakh do bas.,anger,You are being careless.,high,sab tod phod ke rakh do bas
Sham tak ghar nahi aaye toh darwaza band milega.,anger,Come home on time.,high,sham tak ghar nahi aaye toh darwaza band milega
Tumse toh baat karna hi bekar hai.,anger,Talking to you is a waste of time.,high,tumse toh baat karna hi bekar hai
Zinda gaad dungi.,anger,I'm beyond furious.,rip,zinda gaad dungi
Maar khaani hai kya?,anger,Do you want a beating?,rip,maar khaani hai kya
Hudd hoti hai kisi cheez ki!,anger,You have crossed the line.,high,hudd hoti hai kisi cheez ki
Jab main mar jaungi tab pata chalega.,emotional_blackmail,You will miss me when I'm gone.,medium,jab main mar jaungi tab pata chalega
"Theek hai, meri mat suno.",emotional_blackmail,"Ignore me, you'll regret it.",medium,theek hai meri mat suno
Maine tumhare liye kya nahi kiya?,emotional_blackmail,You are being ungrateful.,medium,maine tumhare liye kya nahi kiya
Pata nahi kaunse pichle janam ke paap hain.,emotional_blackmail,You are a punishment for me.,medium,pata nahi kaunse pichle janam ke paap hain
Meri toh koi izzat hi nahi hai is ghar mein.,emotional_blackmail,No one listens to me.,medium,meri toh koi izzat hi nahi hai is ghar mein
"Thik hai, mat khao khana, main bhi nahi khaungi.",emotional_blackmail,I will starve to make you feel guilty.,medium,thik hai mat khao khana main bhi nahi khaungi
"Tumhe kya, hum toh purane khayalat ke hain.",emotional_blackmail,You think we are outdated.,medium,tumhe kya hum toh purane khayalat ke hain
Bas yahi din dekhne ke liye paala tha tumhe?,emotional_blackmail,I regret raising you like this.,medium,bas yahi din dekhne ke liye paala tha tumhe
Meri toh kismat hi kharab hai.,emotional_blackmail,I am unlucky to have you.,medium,meri toh kismat hi kharab hai
"Padosi ke bachon ko dekho, kitni seva karte hain.",emotional_blackmail,You don't take care of me.,medium,padosi ke bachon ko dekho kitni seva karte hain
"Doctor ne mana kiya hai tension lene se, par tum...",emotional_blackmail,You're worsening my health.,medium,doctor ne mana kiya hai tension lene se par tum
Agli baar mujhse baat mat karna.,emotional_blackmail,I am cutting you off.,medium,agli baar mujhse baat mat karna
Maine apne saare sapne maar diye tumhare liye.,emotional_blackmail,I sacrificed everything for you.,medium,maine apne saare sapne maar diye tumhare liye
Ek din yaad karoge ki koi thi jo itna dhyan rakhti thi.,emotional_blackmail,You'll regret ignoring my care.,medium,ek din yaad karoge ki koi thi jo itna dhyan rakhti thi
"Haan, main toh buri ma hu na?",emotional_blackmail,You're making me feel like a failure.,medium,haan main toh buri ma hu na
"Tumhare paas toh sab ke liye time hai, bas maa ke liye nahi.",emotional_blackmail,I am not your priority.,medium,tumhare paas toh sab ke liye time hai bas maa ke liye nahi
"Mujhe kya, main toh do din ki mehmaan hu.",emotional_blackmail,I won't be around much longer.,medium,mujhe kya main toh do din ki mehmaan hu
Bhool jao ki tumhari koi ma bhi hai.,emotional_blackmail,Act as if I don't exist.,medium,bhool jao ki tumhari koi ma bhi hai
"Tum khush raho, hum toh aise hi jee lenge.",emotional_blackmail,Enjoy yourself while I suffer.,medium,tum khush raho hum toh aise hi jee lenge
Duniya thukegi mujh pe ki kaisa beta paala.,emotional_blackmail,You are embarrassing me.,medium,duniya thukegi mujh pe ki kaisa beta paala
Mere bujhte hue chirag ko toh dekh lo.,emotional_blackmail,I am old and need attention.,medium,mere bujhte hue chirag ko toh dekh lo
Roti hui ma ki dua nahi lagegi.,emotional_blackmail,You are hurting me deeply.,medium,roti hui ma ki dua nahi lagegi
Tumne toh mera sir jhuka diya.,emotional_blackmail,You brought shame to me.,medium,tumne toh mera sir jhuka diya
"Mat batao kahan ja rahe ho, hum toh gair hain.",emotional_blackmail,I feel like a stranger here.,medium,mat batao kahan ja rahe ho hum toh gair hain
Khana zeher lag raha hai tumhari baatein sunke.,emotional_blackmail,Your words are killing me.,medium,khana zeher lag raha hai tumhari baatein sunke
"Bhagwan se daro, ma ka dil dukha rahe ho.",emotional_blackmail,God will punish you for this.,medium,bhagwan se daro ma ka dil dukha rahe ho
Pata nahi kab akal aayegi tumhe.,emotional_blackmail,I'm waiting for you to mature.,medium,pata nahi kab akal aayegi tumhe
Ab main kuch nahi bolungi.,emotional_blackmail,Silent treatment starting now.,medium,ab main kuch nahi bolungi
"Tumhari khushi mein hi meri khushi hai, bhale hi main dukhi rahu.",emotional_blackmail,I suffer for your sake.,medium,tumhari khushi mein hi meri khushi hai bhale hi main dukhi rahu
"Main toh naukrani hu, kaam karke mar jaungi.",emotional_blackmail,I do all the work with no thanks.,medium,main toh naukrani hu kaam karke mar jaungi
"Beta, main toh bas tumhara bhala chahti hu.",emotional_blackmail,Manipulating for your own good.,medium,beta main toh bas tumhara bhala chahti hu
Tumhe toh mera chehra dekhna bhi pasand nahi.,emotional_blackmail,You hate being around me.,medium,tumhe toh mera chehra dekhna bhi pasand nahi
Aaj ke baad main kitchen mein nahi ghusungi.,emotional_blackmail,I'm on strike.,medium,aaj ke baad main kitchen mein nahi ghusungi
Meri aatma ko shanti tabhi milegi jab tum sudhar jaoge.,emotional_blackmail,My peace depends on you.,medium,meri aatma ko shanti tabhi milegi jab tum sudhar jaoge
Apne bache honge tab samjhoge.,emotional_blackmail,You'll understand my pain later.,medium,apne bache honge tab samjhoge
Mujhe kya pata tha ki mera beta aisa niklega.,emotional_blackmail,I had higher expectations.,medium,mujhe kya pata tha ki mera beta aisa niklega
Maine toh khoon paseena ek kar diya tumhare liye.,emotional_blackmail,I worked too hard for you.,medium,maine toh khoon paseena ek kar diya tumhare liye
Main toh bas bojh hu is ghar mein.,emotional_blackmail,I feel unwanted.,medium,main toh bas bojh hu is ghar mein
Ja jee le apni zindagi.,emotional_blackmail,I'm done trying.,medium,ja jee le apni zindagi
"Beta, khana kha liya?",care,Checking if you're hungry.,low,beta khana kha liya
Paani piya ki nahi?,care,Stay hydrated.,low,paani piya ki nahi
"Bahut thak gaye hoge, thoda aaram kar lo.",care,Take a rest.,low,bahut thak gaye hoge thoda aaram kar lo
"Doodh pi lo, shakti aayegi.",care,Drink milk for strength.,low,doodh pi lo shakti aayegi
Sarr mein dard hai? Tel laga du?,care,Let me give you a head massage.,low,sarr mein dard hai tel laga du
Sone se pehle haldi wala doodh pee lena.,care,Turmeric milk is healthy.,low,sone se pehle haldi wala doodh pee lena
"Dheere jao, raste mein bheed hogi.",care,Drive safely.,low,dheere jao raste mein bheed hogi
"Paisa chahiye toh maang lena, sharmana mat.",care,Tell me if you need money.,low,paisa chahiye toh maang lena sharmana mat
Bahir ka kachra mat khaya karo.,care,Avoid street food.,low,bahir ka kachra mat khaya karo
"Sweater pehan lo, thand lag jayegi.",care,Wear a sweater.,low,sweater pehan lo thand lag jayegi
"Accha hua tum aa gaye, kab se intezaar kar rahi thi.",care,I missed you and was worried.,low,accha hua tum aa gaye kab se intezaar kar rahi thi
"Badam khaya karo, dimaag tez hoga.",care,Eat almonds for memory.,low,badam khaya karo dimaag tez hoga
"Subeh jaldi utha karo, sehat ke liye accha hai.",care,Wake up early for health.,low,subeh jaldi utha karo sehat ke liye accha hai
Chai banau tumhare liye?,care,Would you like some tea?,low,chai banau tumhare liye
Tiffin khatam kiya aaj?,care,Did you eat your lunch?,low,tiffin khatam kiya aaj
"Dhoop mein mat nikalna, kaale ho jaoge.",care,Protect your skin.,low,dhoop mein mat nikalna kaale ho jaoge
"Thoda dahi cheeni kha lo, shubh hota hai.",care,Good luck snack.,low,thoda dahi cheeni kha lo shubh hota hai
"Health ka dhyan rakha karo, kaam toh hota rahega.",care,Health over work.,low,health ka dhyan rakha karo kaam toh hota rahega
"Ankhein laal ho gayi hain, so jao ab.",care,You need sleep.,low,ankhein laal ho gayi hain so jao ab
Maine tumhara favourite rajma chawal banaya hai.,care,I made your favorite food.,low,maine tumhara favourite rajma chawal banaya hai
"Zyada mat padho, thoda ghoom liya karo.",care,Don't overstress.,low,zyada mat padho thoda ghoom liya karo
Mere bache ko kiski nazar lag gayi.,care,I'm worried about your vibes.,low,mere bache ko kiski nazar lag gayi
Ghar ka khana sabse best hota hai.,care,Eat home-cooked meals.,low,ghar ka khana sabse best hota hai
"Sab theek ho jayega, chinta mat karo.",care,Don't worry.,low,sab theek ho jayega chinta mat karo
"Main hu na, darna kaisa?",care,I'm here for you.,low,main hu na darna kaisa
"Phone thoda kam dekha karo, aankhein dukhne lagengi.",care,Protect your eyes.,low,phone thoda kam dekha karo aankhein dukhne lagengi
"Nimbu paani pee lo, garmi bahut hai.",care,Have lemonade for the heat.,low,nimbu paani pee lo garmi bahut hai
Shoes nikal ke thoda aaram karo.,care,Relax.,low,shoes nikal ke thoda aaram karo
Fruit khaoge ya juice piyoge?,care,Have some nutrition.,low,fruit khaoge ya juice piyoge
"Bimar lag rahe ho, doctor ke paas chale?",care,Let's see a doctor.,low,bimar lag rahe ho doctor ke paas chale
Kapde dho diye hain maine.,care,I've done your laundry.,low,kapde dho diye hain maine
Bag pack kar liya kal ke liye?,care,Be prepared.,low,bag pack kar liya kal ke liye
Zubaan kadvie hai par dil saaf hai mera.,care,I care despite being blunt.,low,zubaan kadvie hai par dil saaf hai mera
"Khush raha karo, wahi sabse badi dawai hai.",care,Happiness is the best medicine.,low,khush raha karo wahi sabse badi dawai hai
Raste mein kuch kha lena.,care,Eat on the way.,low,raste mein kuch kha lena
Phone ka charger bhool gaye tum.,care,Don't forget your charger.,low,phone ka charger bhool gaye tum
Main tumhare liye prayer karungi.,care,I'll pray for you.,low,main tumhare liye prayer karungi
Thoda exercise bhi kiya karo.,care,Stay active.,low,thoda exercise bhi kiya karo
"Safai rakha karo, bimar nahi padoge.",care,Keep clean to stay healthy.,low,safai rakha karo bimar nahi padoge
Tum thik ho na?,care,Checking in on you.,low,tum thik ho na
Tumse ye umeed nahi thi.,disappointment,I expected better.,medium,tumse ye umeed nahi thi
"Sharma ji ka beta dekho, kahan se kahan pahunch gaya.",disappointment,Compare yourself to others.,medium,sharma ji ka beta dekho kahan se kahan pahunch gaya
Sab mehnat paani mein gayi.,disappointment,My efforts were wasted.,medium,sab mehnat paani mein gayi
Naam dubo diya mera.,disappointment,You brought shame.,medium,naam dubo diya mera
Pata nahi kya banoge zindagi mein.,disappointment,I'm worried about your failure.,medium,pata nahi kya banoge zindagi mein
Maine socha tha tum bade hoke sahara banoge.,disappointment,I thought you'd support me.,medium,maine socha tha tum bade hoke sahara banoge
Itne kam marks? Itna kharcha kiya tum pe.,disappointment,Grades are too low for the cost.,medium,itne kam marks itna kharcha kiya tum pe
Bas yahi seekha hai tumne?,disappointment,Is this the result of your raising?,medium,bas yahi seekha hai tumne
Tumhari toh kismat hi soti rehti hai.,disappointment,You are chronically lazy.,medium,tumhari toh kismat hi soti rehti hai
Log kya kahenge?,disappointment,What will society think?,medium,log kya kahenge
Main kisi ko mooh dikhane layak nahi rahi.,disappointment,I'm too embarrassed.,medium,main kisi ko mooh dikhane layak nahi rahi
Tumhe toh bas ghumna aur maza karna hai.,disappointment,You are irresponsible.,medium,tumhe toh bas ghumna aur maza karna hai
Maine tumhe bahut sar pe chadha rakha hai.,disappointment,I've spoiled you.,medium,maine tumhe bahut sar pe chadha rakha hai
Duniya aage nikal gayi aur tum wahin ke wahin ho.,disappointment,You're not progressing.,medium,duniya aage nikal gayi aur tum wahin ke wahin ho
Meri toh sunni hi nahi hai tumne.,disappointment,You never listen.,medium,meri toh sunni hi nahi hai tumne
Tumhare doston ne tumhe bigad diya hai.,disappointment,Bad influence friends.,medium,tumhare doston ne tumhe bigad diya hai
Kya kami reh gayi thi meri parvarish mein?,disappointment,Where did I go wrong?,medium,kya kami reh gayi thi meri parvarish mein
Ab toh bhagwan hi maalik hai tera.,disappointment,Only God can save you.,medium,ab toh bhagwan hi maalik hai tera
Itna bada ho gaya par akal bacho jaisi hai.,disappointment,Physically grown but immature.,medium,itna bada ho gaya par akal bacho jaisi hai
Zindagi ko mazak samjh rakha hai.,disappointment,Not taking life seriously.,medium,zindagi ko mazak samjh rakha hai
Koi zimmedari hai ya nahi?,disappointment,Don't you have a sense of duty?,medium,koi zimmedari hai ya nahi
Sirf paise udana aata hai tumhe.,disappointment,You only waste money.,medium,sirf paise udana aata hai tumhe
Ek kaam dhang se nahi hota tumse.,disappointment,You are incompetent.,medium,ek kaam dhang se nahi hota tumse
Pata nahi kiske upar gaye ho.,disappointment,Who did you inherit this from?,medium,pata nahi kiske upar gaye ho
Kaash maine tumhara kehna na mana hota.,disappointment,I regret listening to you.,medium,kaash maine tumhara kehna na mana hota
Ab pachtane se kya hota hai.,disappointment,Too late for regrets.,medium,ab pachtane se kya hota hai
Career ka kuch socha hai ya aise hi nalle rahoge?,disappointment,Do you have a plan?,medium,career ka kuch socha hai ya aise hi nalle rahoge
"Tumhe toh bas phone chahiye, aur kuch nahi.",disappointment,Your phone is your world.,medium,tumhe toh bas phone chahiye aur kuch nahi
"Chalo, meri hi galti hai jo tumse umeed rakhi.",disappointment,My fault for expecting anything.,medium,chalo meri hi galti hai jo tumse umeed rakhi
Ghar ke kisi kaam mein haath nahi batana.,disappointment,You never help.,medium,ghar ke kisi kaam mein haath nahi batana
Kitni baar samjhaya par tum toh tum ho.,disappointment,You never change.,medium,kitni baar samjhaya par tum toh tum ho
Bas baatein karwa lo tumse.,disappointment,"All talk, no action.",medium,bas baatein karwa lo tumse
Galti karke maafi bhi nahi maangte.,disappointment,Too proud to apologize.,medium,galti karke maafi bhi nahi maangte
Tumhare dimaag mein gobar bhara hai.,disappointment,You are being foolish.,medium,tumhare dimaag mein gobar bhara hai
Kahin ke nahi rahoge agar aisa hi chalta raha.,disappointment,You'll end up with nothing.,medium,kahin ke nahi rahoge agar aisa hi chalta raha
Mera toh sir dard ho gaya hai tumhare kaarnamon se.,disappointment,Your actions stress me out.,medium,mera toh sir dard ho gaya hai tumhare kaarnamon se
"Ab main kuch nahi bolungi, jo karna hai karo.",disappointment,I'm giving up on guiding you.,medium,ab main kuch nahi bolungi jo karna hai karo
Padhai mein dhyan hota toh aaj ye din na dekhna padta.,disappointment,Education would have saved you.,medium,padhai mein dhyan hota toh aaj ye din na dekhna padta
Nalayak aulaad.,disappointment,Useless child.,medium,nalayak aulaad
"Theek hai, main hi kar lungi saara kaam.",passive_aggressive,I'm upset you're not helping.,medium,theek hai main hi kar lungi saara kaam
"Nahi, nahi, tum aaram karo, main toh naukrani hu.",passive_aggressive,I do everything while you relax.,medium,nahi nahi tum aaram karo main toh naukrani hu
"Khana thanda ho gaya hai, par koi baat nahi.",passive_aggressive,You're late for dinner.,medium,khana thanda ho gaya hai par koi baat nahi
"Maine toh bas pucha tha, itna gussa kyun?",passive_aggressive,Playing victim after annoying you.,medium,maine toh bas pucha tha itna gussa kyun
"Koi baat nahi, meri khushi ki kise parvah hai.",passive_aggressive,No one cares about me.,medium,koi baat nahi meri khushi ki kise parvah hai
"Bade log hain, humse kyun baat karenge.",passive_aggressive,You think you're too good for me.,medium,bade log hain humse kyun baat karenge
"Haan, sab tumhari hi marzi se hoga.",passive_aggressive,I have no say in this house.,medium,haan sab tumhari hi marzi se hoga
"Ghar hai ya hotel, jab mann kiya aaye jab mann kiya gaye.",passive_aggressive,No respect for house rules.,medium,ghar hai ya hotel jab mann kiya aaye jab mann kiya gaye
"Tum toh bahut busy rehte ho, humein hi waqt nikalna padega.",passive_aggressive,You never make time for me.,medium,tum toh bahut busy rehte ho humein hi waqt nikalna padega
"Main toh purani ho gayi hu, meri baatein kahan pasand aayengi.",passive_aggressive,You find me boring.,medium,main toh purani ho gayi hu meri baatein kahan pasand aayengi
"Kitna saaf kamra hai, nazar na lag jaye.",passive_aggressive,Your room is a mess.,medium,kitna saaf kamra hai nazar na lag jaye
Accha? Mujhe toh pata hi nahi tha.,passive_aggressive,Being sarcastic about your info.,medium,accha mujhe toh pata hi nahi tha
"Paise toh tumhare paas bahut hain, humein kya.",passive_aggressive,You're being overspending/stingy.,medium,paise toh tumhare paas bahut hain humein kya
"Chalo, kam se kam aaj tum ghar toh ho.",passive_aggressive,You're rarely home.,medium,chalo kam se kam aaj tum ghar toh ho
Maine toh socha tha aaj saath mein khana khayenge.,passive_aggressive,Disappointed you have other plans.,medium,maine toh socha tha aaj saath mein khana khayenge
"Nahi, main theek hu, bas thoda dard hai.",passive_aggressive,Guilt-tripping about health.,medium,nahi main theek hu bas thoda dard hai
Logon ke bache toh maa ko ghumane le jaate hain.,passive_aggressive,You never take me out.,medium,logon ke bache toh maa ko ghumane le jaate hain
Pata nahi ye ghar kaise chal raha hai.,passive_aggressive,I'm exhausted doing everything.,medium,pata nahi ye ghar kaise chal raha hai
Tumhari pasand hi sabse upar hai.,passive_aggressive,Bitter about your choices.,medium,tumhari pasand hi sabse upar hai
"Bahut acchi baat hai, aur kya chahiye.",passive_aggressive,Not actually happy.,medium,bahut acchi baat hai aur kya chahiye
Aaj toh badi jaldi yaad aa gayi meri.,passive_aggressive,You only call when you need something.,medium,aaj toh badi jaldi yaad aa gayi meri
Koi zaroorat nahi hai meri help ki.,passive_aggressive,Offended you're ignoring me.,medium,koi zaroorat nahi hai meri help ki
"Thoda aur so lo, abhi toh sirf 11 baje hain.",passive_aggressive,Waking up too late.,medium,thoda aur so lo abhi toh sirf 11 baje hain
"Maine toh sab bana ke rakh diya hai, jab mann kare kha lena.",passive_aggressive,Annoyed you're not eating with us.,medium,maine toh sab bana ke rakh diya hai jab mann kare kha lena
"Haan, main hi sab galat samajhti hu.",passive_aggressive,Gaslighting response.,medium,haan main hi sab galat samajhti hu
"Arey, main toh bas ek maa hu, meri kaun sunta hai.",passive_aggressive,Feeling undervalued.,medium,arey main toh bas ek maa hu meri kaun sunta hai
"Tumhare friends toh bahut acche hain, hum hi bure hain.",passive_aggressive,You prefer friends over me.,medium,tumhare friends toh bahut acche hain hum hi bure hain
"Aaj khana kaisa bana hai, pucha kisi ne?",passive_aggressive,No appreciation for cooking.,medium,aaj khana kaisa bana hai pucha kisi ne
Tum toh doctor se bhi zyada jaante ho.,passive_aggressive,Ignoring medical advice.,medium,tum toh doctor se bhi zyada jaante ho
"Theek hai, main chup ho jati hu.",passive_aggressive,I'm angry and stopping.,medium,theek hai main chup ho jati hu
"Kitna phone chalaoge, thoda thak gaye hoge.",passive_aggressive,Stop using the phone.,medium,kitna phone chalaoge thoda thak gaye hoge
"Mujhe kya, tumhara career hai.",passive_aggressive,I care but acting like I don't.,medium,mujhe kya tumhara career hai
"Haan, sabko bata do ki main kitni buri hu.",passive_aggressive,Stop complaining about me.,medium,haan sabko bata do ki main kitni buri hu
